Question,A,B,C,D,Answer
2 + 3 = (),4,5,6,7,B
4 - 1 = (),2,3,5,1,B
6 * 2 = (),12,10,8,6,A
8 ÷ 2 = (),4,3,5,6,A
5 + 5 = (),8,10,9,7,B
9 - 3 = (),6,12,9,3,A
7 * 3 = (),21,14,22,23,A
12 ÷ 3 = (),4,6,3,5,A
3 + 7 = (),10,8,9,11,A
5 - 2 = (),3,7,6,2,A
4 * 4 = (),16,12,14,10,A
20 ÷ 5 = (),4,3,5,2,A
8 + 4 = (),12,10,9,7,A
6 - 3 = (),3,9,6,2,A
5 * 5 = (),25,20,15,30,A
15 ÷ 3 = (),5,10,3,7,A
9 + 2 = (),11,7,6,12,A
7 - 4 = (),3,8,5,2,A
3 * 6 = (),18,12,24,9,A
24 ÷ 6 = (),4,3,8,12,A
1 + 8 = (),9,7,6,10,A
10 - 5 = (),5,8,3,7,A
11 + 7 = (),18,16,19,17,A
13 - 9 = (),4,5,3,6,A
2 * 9 = (),18,12,17,11,A
18 ÷ 3 = (),6,5,7,8,A
14 + 1 = (),15,13,14,12,A
8 - 5 = (),3,4,2,6,A
7 * 4 = (),28,21,30,24,A
25 ÷ 5 = (),5,4,3,6,A
5 + 6 = (),11,9,10,8,C
3 - 1 = (),2,4,1,3,A
6 * 3 = (),18,15,12,9,A
30 ÷ 6 = (),5,4,10,8,A
15 + 10 = (),25,20,24,22,A
12 - 7 = (),5,8,7,4,A
4 * 5 = (),20,15,25,12,A
36 ÷ 9 = (),4,3,6,5,A
11 + 8 = (),19,17,18,20,A
9 - 6 = (),3,5,2,4,A
8 * 2 = (),16,14,12,10,A
27 ÷ 9 = (),3,2,4,5,A
16 + 3 = (),19,18,17,15,A
10 - 4 = (),6,8,5,7,A
5 * 8 = (),40,35,30,25,A
1 + 9 = (),10,8,9,7,A
14 - 6 = (),8,7,6,5,A
3 * 7 = (),21,14,22,23,A
21 ÷ 3 = (),7,6,5,8,A
17 + 2 = (),19,18,20,17,A
5 - 3 = (),2,5,1,3,A
4 * 6 = (),24,18,20,22,A
28 ÷ 7 = (),4,3,5,6,A
20 + 0 = (),20,19,21,18,A
7 - 1 = (),6,8,5,7,A
5 * 3 = (),15,10,12,14,A
35 ÷ 5 = (),7,6,5,8,A
19 + 1 = (),20,18,19,17,A
13 - 8 = (),5,7,4,6,A
2 * 8 = (),16,12,14,10,A
36 ÷ 6 = (),6,5,7,8,A
22 + 8 = (),30,28,29,27,A
10 - 7 = (),3,6,2,5,A
9 * 4 = (),36,32,38,34,A
42 ÷ 7 = (),6,5,7,8,A
1 + 2 = (),2,3,4,5,B
3 - 2 = (),1,0,2,3,A
2 * 5 = (),10,8,6,5,A
10 ÷ 5 = (),2,1,3,4,A
4 + 6 = (),10,8,9,7,A
7 - 4 = (),3,2,1,5,A
3 * 4 = (),12,9,7,6,A
12 ÷ 4 = (),3,2,4,5,A
5 + 3 = (),8,6,7,9,A
6 - 1 = (),5,7,4,3,A
4 * 3 = (),12,10,9,8,A
20 ÷ 4 = (),5,4,3,6,A
8 + 7 = (),15,13,12,11,A
9 - 5 = (),4,3,2,5,A
2 * 6 = (),12,10,8,7,A
18 ÷ 3 = (),6,5,7,8,A
11 + 4 = (),15,13,14,12,A
5 - 3 = (),2,3,1,4,A
3 * 5 = (),15,12,10,14,A
25 ÷ 5 = (),5,4,3,6,A
9 + 1 = (),10,9,8,7,A
5 - 1 = (),4,5,3,6,A
3 * 8 = (),24,26,25,23,A
27 ÷ 9 = (),3,2,4,5,A
13 + 12 = (),25,24,23,22,A
11 - 7 = (),4,3,5,6,A
7 * 2 = (),14,13,12,11,A
16 ÷ 4 = (),4,3,5,6,A
15 + 5 = (),20,19,18,17,A
8 - 2 = (),6,8,5,7,A
6 * 4 = (),24,22,20,21,A
40 ÷ 8 = (),5,4,3,6,A
14 + 3 = (),17,16,15,14,A
10 - 6 = (),4,5,3,2,A
5 * 9 = (),45,40,42,43,A
33 ÷ 11 = (),3,2,4,5,A
21 + 4 = (),25,24,23,22,A
6 - 3 = (),3,4,2,5,A
4 * 7 = (),28,27,26,25,A
56 ÷ 7 = (),8,7,6,5,A
